ID;Countrycode;Countryname;potentially suitable land;potentially cultivable land;potentially available cropland
14;ABW;Aruba;144;123;123
1;AFG;Afghanistan;445537;444690;439027
8;AGO;Angola;1242190;1240155;592146
9;AIA;Anguilla;46;44;9
3;ALA;Åland;525;501;106
4;ALB;Albania;19865;19558;14007
7;AND;Andorra;120;116;84
241;ARE;United Arab Emirates;40456;39552;38349
12;ARG;Argentina;2564546;2535240;2159417
13;ARM;Armenia;22530;22310;19578
6;ASM;American Samoa;101;92;92
10;ATA;Antarctica;0;0;0
82;ATF;French Southern Territories;0;0;0
11;ATG;Antigua and Barbuda;380;345;246
15;AUS;Australia;7539585;7530277;5896771
16;AUT;Austria;54110;52817;28163
17;AZE;Azerbaijan;74884;73247;63611
39;BDI;Burundi;24869;24742;21266
23;BEL;Belgium;30149;28462;21546
25;BEN;Benin;115437;114775;67450
29;BES;Bonaire, Sint Eustatius and Saba;237;196;159
38;BFA;Burkina Faso;273687;272667;218518
20;BGD;Bangladesh;130680;122941;108247
37;BGR;Bulgaria;97962;96709;67436
19;BHR;Bahrain;546;396;395
18;BHS;Bahamas;9446;7994;1149
30;BIH;Bosnia and Herzegovina;43410;43038;26077
190;BLM;Saint-Barthélemy;0;0;0
22;BLR;Belarus;204577;202892;113830
24;BLZ;Belize;21501;21046;7003
26;BMU;Bermuda;0;0;0
28;BOL;Bolivia;1018260;1011144;443046
33;BRA;Brazil;8403243;8308068;3135918
21;BRB;Barbados;407;378;314
36;BRN;Brunei;5655;5582;1317
27;BTN;Bhutan;16799;16741;1543
32;BVT;Bouvet Island;0;0;0
31;BWA;Botswana;563984;563444;356624
46;CAF;Central African Republic;621344;620721;367176
42;CAN;Canada;3029630;2956732;911109
52;CCK;Cocos Islands;0;0;0
223;CHE;Switzerland;17868;17147;11071
48;CHL;Chile;423043;411483;283277
49;CHN;China;6516389;6419008;4850433
57;CIV;Côte d'Ivoire;317362;316208;205830
41;CMR;Cameroon;460830;458943;253886
0;COD;Democratic Republic of the Congo;2292873;2284955;587694
185;COG;Republic of Congo;341275;338246;112511
55;COK;Cook Islands;0;0;0
53;COL;Colombia;1094204;1084507;460417
54;COM;Comoros;1270;1255;1017
43;CPV;Cape Verde;2323;2270;1733
56;CRI;Costa Rica;48834;48391;22516
59;CUB;Cuba;105487;103541;71354
60;CUW;Curaçao;379;342;318
50;CXR;Christmas Island;0;0;0
45;CYM;Cayman Islands;150;135;37
61;CYP;Cyprus;5283;5038;3891
62;CZE;Czech Republic;76291;74749;49028
86;DEU;Germany;342882;332731;221027
65;DJI;Djibouti;18599;18493;17785
66;DMA;Dominica;681;678;252
64;DNK;Denmark;39829;38708;33033
67;DOM;Dominican Republic;46564;45887;23630
5;DZA;Algeria;1571579;1567268;1494987
68;ECU;Ecuador;234548;231378;106487
69;EGY;Egypt;734704;729213;717277
72;ERI;Eritrea;105460;105326;90240
253;ESH;Western Sahara;241348;241311;237063
215;ESP;Spain;461415;447282;284002
73;EST;Estonia;41735;41432;17441
74;ETH;Ethiopia;1093892;1092327;929674
78;FIN;Finland;283096;275739;43177
77;FJI;Fiji;15945;15866;6221
75;FLK;Falkland Islands;9141;9029;9010
79;FRA;France;501074;491376;347316
76;FRO;Faroe Islands;714;694;693
146;FSM;Micronesia;0;0;0
83;GAB;Gabon;261024;259828;24035
242;GBR;United Kingdom;220601;214831;177975
85;GEO;Georgia;43498;43095;26411
95;GGY;Guernsey;48;46;46
87;GHA;Ghana;225667;223447;120270
